name,lat,lon
"Honolulu, Hawaii",21.30694437772,-157.85833331756
"Anchorage, AK",61.218055598438,-149.9002778437
"Vancouver Island, Canada",49.650637577288,-125.44939063489
"Vancouver, Canada",49.282729066908,-123.12073750421
"Vancouver, BC",49.282729066908,-123.12073750421
"Vancouver, Canada",49.282729066908,-123.12073750421
"Shelton, Washington",47.21509447787,-123.10070668347
"Eugene, Oregon",44.052069070749,-123.08675366454
"Eugene, Oregon",44.052069070749,-123.08675366454
"Salem, Oregon",44.942897488363,-123.03509633057
"Salem, Oregon",44.942897488363,-123.03509633057
"Longview, Washington",46.138167567551,-122.93816724792
"Hillsboro, Oregon",45.527217686176,-122.93609063141
"Olympia, Washington",47.037874097005,-122.9006951116
"Medford, Oregon",42.326515163295,-122.87559491582
"Port Townsend, Washington",48.117038682103,-122.7604471799
"Santa Rosa, California",38.440428986214,-122.71405485459
"Portland, Oregon",45.505106393248,-122.67502611503
"Portland, Oregon",45.505106393248,-122.67502611503
"Portland, Oregon",45.505106393248,-122.67502611503
"Portland, Oregon",45.505106393248,-122.67502611503
"Portland, Oregon",45.505106393248,-122.67502611503
"Portland, Oregon",45.505106393248,-122.67502611503
"Portland, Oregon",45.505106393248,-122.67502611503
"Portland, Oregon",45.505106393248,-122.67502611503
"Bremerton, Washington",47.565006664954,-122.6269768551
"Novato, California",38.107419786975,-122.56970322691
"San Rafael, California",37.973534599878,-122.53108746372
"Bellingham, Washington",48.751911185682,-122.47868548147
"San Francisco, California",37.774929469451,-122.41941553541
"San Francisco, California",37.774929469451,-122.41941553541
"Seattle, Washington",47.606209460646,-122.33207082376
"Seattle, Washington",47.606209460646,-122.33207082376
"Seattle, Washington",47.606209460646,-122.33207082376
"Seattle, Washington",47.606209460646,-122.33207082376
"Mission, British Columbia",49.132927190512,-122.32616032474
"San Mateo, California",37.562991664745,-122.32552547939
"Bay Area, California",37.827178398147,-122.29130786844
"Oakland, California",37.804351374507,-122.27116397582
"Oakland, California",37.804351374507,-122.27116397582
"Sedro-Woolley, Washington",48.503889958374,-122.23611010239
"Redwood City, California",37.484795465134,-122.22814100794
"Cupertino, California",37.322997786105,-122.03218233772
"Santa Cruz, California",36.974117076024,-122.03079630621
"San Jose, California",37.338208174333,-121.88632867299
"San Jose, California",37.338208174333,-121.88632867299
"San Jose, California",37.338208174333,-121.88632867299
